seriesName,startTime,value,endTime
304,2026-02-06T05:00:00Z,5,2026-02-06T05:59:59Z
304,2026-02-06T06:00:00Z,6,2026-02-06T06:59:59Z
304,2026-02-06T07:00:00Z,0,2026-02-06T07:59:59Z
304,2026-02-06T08:00:00Z,1,2026-02-06T08:59:59Z
304,2026-02-06T09:00:00Z,0,2026-02-06T09:59:59Z
304,2026-02-06T10:00:00Z,0,2026-02-06T10:59:59Z
304,2026-02-06T11:00:00Z,0,2026-02-06T11:59:59Z
304,2026-02-06T12:00:00Z,0,2026-02-06T12:59:59Z
304,2026-02-06T13:00:00Z,0,2026-02-06T13:59:59Z
304,2026-02-06T14:00:00Z,0,2026-02-06T14:59:59Z
304,2026-02-06T15:00:00Z,0,2026-02-06T15:59:59Z
304,2026-02-06T16:00:00Z,0,2026-02-06T16:59:59Z
304,2026-02-06T17:00:00Z,0,2026-02-06T17:59:59Z
304,2026-02-06T18:00:00Z,0,2026-02-06T18:59:59Z
304,2026-02-06T19:00:00Z,0,2026-02-06T19:59:59Z
304,2026-02-06T20:00:00Z,0,2026-02-06T20:59:59Z
304,2026-02-06T21:00:00Z,0,2026-02-06T21:59:59Z
304,2026-02-06T22:00:00Z,0,2026-02-06T22:59:59Z
304,2026-02-06T23:00:00Z,0,2026-02-06T23:59:59Z
304,2026-02-07T00:00:00Z,0,2026-02-07T00:59:59Z
304,2026-02-07T01:00:00Z,0,2026-02-07T01:59:59Z
304,2026-02-07T02:00:00Z,1,2026-02-07T02:59:59Z
304,2026-02-07T03:00:00Z,0,2026-02-07T03:59:59Z
304,2026-02-07T04:00:00Z,0,2026-02-07T04:59:59Z
304,2026-02-07T05:00:00Z,0,2026-02-07T05:59:59Z
304,2026-02-07T06:00:00Z,0,2026-02-07T06:59:59Z
304,2026-02-07T07:00:00Z,0,2026-02-07T07:59:59Z
304,2026-02-07T08:00:00Z,0,2026-02-07T08:59:59Z
304,2026-02-07T09:00:00Z,0,2026-02-07T09:59:59Z
304,2026-02-07T10:00:00Z,0,2026-02-07T10:59:59Z
304,2026-02-07T11:00:00Z,0,2026-02-07T11:59:59Z
304,2026-02-07T12:00:00Z,0,2026-02-07T12:59:59Z
304,2026-02-07T13:00:00Z,0,2026-02-07T13:59:59Z
304,2026-02-07T14:00:00Z,0,2026-02-07T14:59:59Z
304,2026-02-07T15:00:00Z,0,2026-02-07T15:59:59Z
304,2026-02-07T16:00:00Z,0,2026-02-07T16:59:59Z
304,2026-02-07T17:00:00Z,0,2026-02-07T17:59:59Z
304,2026-02-07T18:00:00Z,0,2026-02-07T18:59:59Z
304,2026-02-07T19:00:00Z,1,2026-02-07T19:59:59Z
304,2026-02-07T20:00:00Z,11,2026-02-07T20:59:59Z
304,2026-02-07T21:00:00Z,0,2026-02-07T21:59:59Z
304,2026-02-07T22:00:00Z,0,2026-02-07T22:59:59Z
304,2026-02-07T23:00:00Z,14,2026-02-07T23:59:59Z
304,2026-02-08T00:00:00Z,2,2026-02-08T00:59:59Z
304,2026-02-08T01:00:00Z,0,2026-02-08T01:59:59Z
304,2026-02-08T02:00:00Z,0,2026-02-08T02:59:59Z
304,2026-02-08T03:00:00Z,0,2026-02-08T03:59:59Z
304,2026-02-08T04:00:00Z,0,2026-02-08T04:59:59Z
304,2026-02-08T05:00:00Z,2,2026-02-08T05:59:59Z
304,2026-02-08T06:00:00Z,2,2026-02-08T06:59:59Z
304,2026-02-08T07:00:00Z,0,2026-02-08T07:59:59Z
304,2026-02-08T08:00:00Z,0,2026-02-08T08:59:59Z
304,2026-02-08T09:00:00Z,0,2026-02-08T09:59:59Z
304,2026-02-08T10:00:00Z,0,2026-02-08T10:59:59Z
304,2026-02-08T11:00:00Z,0,2026-02-08T11:59:59Z
304,2026-02-08T12:00:00Z,0,2026-02-08T12:59:59Z
304,2026-02-08T13:00:00Z,0,2026-02-08T13:59:59Z
304,2026-02-08T14:00:00Z,1,2026-02-08T14:59:59Z
304,2026-02-08T15:00:00Z,0,2026-02-08T15:59:59Z
304,2026-02-08T16:00:00Z,0,2026-02-08T16:59:59Z
304,2026-02-08T17:00:00Z,2,2026-02-08T17:59:59Z
304,2026-02-08T18:00:00Z,0,2026-02-08T18:59:59Z
304,2026-02-08T19:00:00Z,0,2026-02-08T19:59:59Z
304,2026-02-08T20:00:00Z,0,2026-02-08T20:59:59Z
304,2026-02-08T21:00:00Z,2,2026-02-08T21:59:59Z
304,2026-02-08T22:00:00Z,0,2026-02-08T22:59:59Z
304,2026-02-08T23:00:00Z,1,2026-02-08T23:59:59Z
304,2026-02-09T00:00:00Z,0,2026-02-09T00:59:59Z
304,2026-02-09T01:00:00Z,0,2026-02-09T01:59:59Z
304,2026-02-09T02:00:00Z,11,2026-02-09T02:59:59Z
304,2026-02-09T03:00:00Z,2,2026-02-09T03:59:59Z
304,2026-02-09T04:00:00Z,4,2026-02-09T04:59:59Z
304,2026-02-09T05:00:00Z,0,2026-02-09T05:59:59Z
304,2026-02-09T06:00:00Z,0,2026-02-09T06:59:59Z
304,2026-02-09T07:00:00Z,0,2026-02-09T07:59:59Z
304,2026-02-09T08:00:00Z,1,2026-02-09T08:59:59Z
304,2026-02-09T09:00:00Z,0,2026-02-09T09:59:59Z
304,2026-02-09T10:00:00Z,0,2026-02-09T10:59:59Z
304,2026-02-09T11:00:00Z,0,2026-02-09T11:59:59Z
304,2026-02-09T12:00:00Z,0,2026-02-09T12:59:59Z
304,2026-02-09T13:00:00Z,0,2026-02-09T13:59:59Z
304,2026-02-09T14:00:00Z,1,2026-02-09T14:59:59Z
304,2026-02-09T15:00:00Z,0,2026-02-09T15:59:59Z
304,2026-02-09T16:00:00Z,0,2026-02-09T16:59:59Z
304,2026-02-09T17:00:00Z,0,2026-02-09T17:59:59Z
304,2026-02-09T18:00:00Z,0,2026-02-09T18:59:59Z
304,2026-02-09T19:00:00Z,0,2026-02-09T19:59:59Z
304,2026-02-09T20:00:00Z,0,2026-02-09T20:59:59Z
304,2026-02-09T21:00:00Z,0,2026-02-09T21:59:59Z
304,2026-02-09T22:00:00Z,1,2026-02-09T22:59:59Z
304,2026-02-09T23:00:00Z,0,2026-02-09T23:59:59Z
304,2026-02-10T00:00:00Z,0,2026-02-10T00:59:59Z
304,2026-02-10T01:00:00Z,0,2026-02-10T01:59:59Z
304,2026-02-10T02:00:00Z,0,2026-02-10T02:59:59Z
304,2026-02-10T03:00:00Z,1,2026-02-10T03:59:59Z
304,2026-02-10T04:00:00Z,3,2026-02-10T04:59:59Z
304,2026-02-10T05:00:00Z,0,2026-02-10T05:59:59Z
304,2026-02-10T06:00:00Z,0,2026-02-10T06:59:59Z
304,2026-02-10T07:00:00Z,0,2026-02-10T07:59:59Z
304,2026-02-10T08:00:00Z,0,2026-02-10T08:59:59Z
304,2026-02-10T09:00:00Z,1,2026-02-10T09:59:59Z
304,2026-02-10T10:00:00Z,0,2026-02-10T10:59:59Z
304,2026-02-10T11:00:00Z,0,2026-02-10T11:59:59Z
304,2026-02-10T12:00:00Z,1,2026-02-10T12:59:59Z
304,2026-02-10T13:00:00Z,0,2026-02-10T13:59:59Z
304,2026-02-10T14:00:00Z,0,2026-02-10T14:59:59Z
304,2026-02-10T15:00:00Z,12,2026-02-10T15:59:59Z
304,2026-02-10T16:00:00Z,17,2026-02-10T16:59:59Z
304,2026-02-10T17:00:00Z,0,2026-02-10T17:59:59Z
304,2026-02-10T18:00:00Z,0,2026-02-10T18:59:59Z
304,2026-02-10T19:00:00Z,0,2026-02-10T19:59:59Z
304,2026-02-10T20:00:00Z,0,2026-02-10T20:59:59Z
304,2026-02-10T21:00:00Z,0,2026-02-10T21:59:59Z
304,2026-02-10T22:00:00Z,3,2026-02-10T22:59:59Z
304,2026-02-10T23:00:00Z,0,2026-02-10T23:59:59Z
304,2026-02-11T00:00:00Z,1,2026-02-11T00:59:59Z
304,2026-02-11T01:00:00Z,11,2026-02-11T01:59:59Z
304,2026-02-11T02:00:00Z,0,2026-02-11T02:59:59Z
304,2026-02-11T03:00:00Z,0,2026-02-11T03:59:59Z
304,2026-02-11T04:00:00Z,2,2026-02-11T04:59:59Z
304,2026-02-11T05:00:00Z,0,2026-02-11T05:59:59Z
304,2026-02-11T06:00:00Z,0,2026-02-11T06:59:59Z
304,2026-02-11T07:00:00Z,0,2026-02-11T07:59:59Z
304,2026-02-11T08:00:00Z,0,2026-02-11T08:59:59Z
304,2026-02-11T09:00:00Z,0,2026-02-11T09:59:59Z
304,2026-02-11T10:00:00Z,0,2026-02-11T10:59:59Z
304,2026-02-11T11:00:00Z,0,2026-02-11T11:59:59Z
304,2026-02-11T12:00:00Z,0,2026-02-11T12:59:59Z
304,2026-02-11T13:00:00Z,1,2026-02-11T13:59:59Z
304,2026-02-11T14:00:00Z,2,2026-02-11T14:59:59Z
304,2026-02-11T15:00:00Z,11,2026-02-11T15:59:59Z
304,2026-02-11T16:00:00Z,3,2026-02-11T16:59:59Z
304,2026-02-11T17:00:00Z,1,2026-02-11T17:59:59Z
304,2026-02-11T18:00:00Z,0,2026-02-11T18:59:59Z
304,2026-02-11T19:00:00Z,0,2026-02-11T19:59:59Z
304,2026-02-11T20:00:00Z,0,2026-02-11T20:59:59Z
304,2026-02-11T21:00:00Z,1,2026-02-11T21:59:59Z
304,2026-02-11T22:00:00Z,0,2026-02-11T22:59:59Z
304,2026-02-11T23:00:00Z,0,2026-02-11T23:59:59Z
304,2026-02-12T00:00:00Z,0,2026-02-12T00:59:59Z
